CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad Cliente,Tiempo,COMBO_ZONA_TIEMPO
31665,8,6,1,2,1,3,0,1,1,31,1,0,0,0.3333333333333333,1,1,0,2.96,3682,14394,1,2,44,0.5714285714285714,0.5201826484018265
31697,8,6,1,2,1,2,0,1,1,42,1,0,0,0.0,1,0,1,2.67,2799,8815,0,2,40,0.0,0.0
31708,8,6,1,2,1,0,0,1,1,25,0,0,0,1.0,1,2,1,2.8,1903,12233,0,2,48,0.0,0.3375342465753425
31739,8,6,1,2,1,3,0,1,1,34,0,0,0,0.0,1,2,1,2.81,1903,20198,0,2,59,0.0,0.0
31752,8,6,1,2,1,3,0,1,1,42,1,0,0,1.0,1,2,1,2.98,1903,20781,0,2,62,0.0,0.3375342465753425
31757,8,6,1,2,1,0,0,1,1,44,0,0,0,0.0,1,2,1,2.93,1903,19328,0,2,50,0.0,0.0
31765,8,6,1,2,1,3,3,1,1,8,0,0,0,0.3333333333333333,1,2,1,2.9,1903,26656,0,2,55,0.0,0.11251141552511415
31768,8,6,1,2,1,2,2,0,0,8,1,0,0,1.0,1,3,0,2.39,3719,19787,0,2,57,0.0,0.3375342465753425
31781,8,6,1,2,1,2,0,1,1,1,1,0,0,1.0,1,2,1,2.9,5026,24758,0,1,45,0.0,0.3375342465753425
31784,8,6,1,2,1,2,0,1,1,8,1,0,0,1.0,1,2,1,2.95,6958,33828,0,0,37,0.0,0.3375342465753425
31788,8,6,1,2,1,0,0,0,1,42,1,0,0,0.3333333333333333,1,2,1,2.89,1903,18050,0,1,62,0.0,0.11251141552511415
31790,8,6,1,2,1,2,0,1,1,48,1,0,0,0.0,1,3,0,2.85,2799,7281,0,2,54,0.0,0.0
31811,8,6,1,2,1,3,0,1,1,31,0,0,0,0.3333333333333333,1,0,0,2.93,1903,23050,0,2,43,0.0,0.11251141552511415
31876,8,6,1,2,1,2,2,1,1,31,1,0,0,0.3333333333333333,1,1,0,2.92,2799,14586,0,2,46,0.0,0.11251141552511415
31883,8,6,1,2,1,2,3,1,1,31,1,0,0,0.3333333333333333,1,2,1,2.87,2799,19250,0,2,44,0.0,0.11251141552511415
31895,8,6,1,2,1,2,0,1,1,8,1,0,0,0.3333333333333333,1,0,0,2.81,2799,5905,0,1,44,0.0,0.11251141552511415
31898,8,6,1,2,1,1,0,1,1,8,1,0,0,0.3333333333333333,1,0,0,2.75,1903,10511,0,2,60,0.0,0.11251141552511415
31939,8,6,1,2,1,2,0,1,1,32,1,0,1,0.3333333333333333,1,1,0,2.82,1903,22039,0,2,62,0.0,0.11251141552511415
31946,8,6,1,2,1,2,0,1,1,18,1,0,0,0.0,1,1,0,2.74,2799,14104,0,2,53,0.0,0.0
31959,8,6,1,2,1,2,3,1,1,31,1,0,0,1.0,1,1,0,2.84,2799,17354,1,2,55,0.5714285714285714,0.7452054794520548
31969,8,6,1,2,1,2,0,1,1,51,1,0,0,0.3333333333333333,1,0,0,2.84,2799,18605,0,2,62,0.0,0.11251141552511415
31972,8,6,1,2,1,2,0,1,1,49,1,0,0,1.0,1,2,1,2.51,6406,5917,0,1,56,0.0,0.3375342465753425
32002,8,6,1,2,1,2,3,1,1,8,1,0,0,0.0,1,1,0,2.85,4639,24636,0,2,45,0.0,0.0
32010,8,6,1,2,1,2,3,1,1,35,1,0,0,0.3333333333333333,1,2,1,2.81,2799,23658,0,2,39,0.0,0.11251141552511415
32020,8,6,1,2,1,3,0,1,1,2,0,0,0,0.0,1,2,1,2.84,3743,20879,0,2,55,0.0,0.0
32021,8,6,1,2,1,2,3,1,1,47,1,0,0,0.3333333333333333,1,3,0,2.52,5007,7801,0,2,28,0.0,0.11251141552511415
32026,8,6,1,2,1,0,0,1,1,31,0,0,0,1.0,1,2,1,2.79,1903,21406,1,2,52,0.5714285714285714,0.7452054794520548
32051,8,6,1,2,1,0,0,1,1,31,1,0,0,0.3333333333333333,1,2,1,2.85,3682,22141,1,2,57,0.7142857142857143,0.6221004566210047
32067,8,6,1,2,1,2,0,1,1,2,1,0,0,0.3333333333333333,1,1,0,2.8,5026,18599,1,2,44,0.7142857142857143,0.6221004566210047
32079,8,6,1,2,1,0,0,0,1,31,0,0,0,1.0,1,3,0,2.7,1903,13087,1,1,67,0.42857142857142855,0.6432876712328767
32081,8,6,1,2,1,0,0,0,1,8,1,0,0,0.3333333333333333,1,0,0,2.82,1903,13947,0,1,48,0.0,0.11251141552511415
32131,8,6,1,2,1,0,0,1,1,11,0,0,0,0.0,1,2,1,2.79,1903,15047,0,2,49,0.0,0.0
32160,8,6,1,2,1,3,0,1,1,28,0,0,0,0.0,1,1,0,2.78,1903,16745,0,1,41,0.0,0.0
32174,8,6,1,2,1,3,0,1,1,31,1,0,0,0.3333333333333333,1,0,0,2.82,3682,34765,1,0,39,0.42857142857142855,0.4182648401826484
32231,8,6,1,2,1,0,3,0,1,6,0,0,0,0.3333333333333333,1,2,1,2.43,3682,21986,1,1,40,0.7142857142857143,0.6221004566210047
32262,8,6,1,2,1,2,0,1,1,1,1,0,0,0.3333333333333333,1,3,0,2.71,2799,10068,0,1,61,0.0,0.11251141552511415
32306,8,6,1,2,1,2,0,1,1,18,1,1,0,0.0,1,2,1,2.75,4639,26152,0,2,40,0.0,0.0
32318,8,6,1,2,1,2,1,1,1,8,1,0,0,1.0,0,2,1,2.35,3719,0,1,1,46,0.35714285714285715,0.5923287671232877
32347,8,6,1,2,1,2,0,1,2,2,1,0,0,0.3333333333333333,1,2,1,2.66,2799,10106,0,2,42,0.0,0.11251141552511415
32367,8,6,1,2,1,0,0,1,1,8,1,0,0,1.0,1,2,1,2.69,1903,11926,0,2,56,0.0,0.3375342465753425
32423,8,6,1,2,1,2,0,1,1,31,1,0,0,1.0,0,1,0,2.6,4639,0,1,2,65,0.42857142857142855,0.6432876712328767
